Neighborhood,GPS Latitude,GPS Longitude
Hosford-Abernethy,45.5048,-122.64508
Powellhurst-Gilbert,45.49675,-122.54541
Foster-Powell,45.49098,-122.58915
Piedmont,45.57444,-122.67073
Pearl,45.53012,-122.68136
Downtown,45.51935,-122.67962
West Portland Park,45.44,-122.72
Buckman,45.51792,-122.6536
Overlook,45.556,-122.69277
Hollywood,45.5355,-122.6203
Brooklyn,45.49401,-122.6528
Old Town/Chinatown,45.52528,-122.67246
Sumner,45.559,-122.579
Lloyd,45.53079,-122.66065
Buckman East,45.51792,-122.65364
Richmond,45.50479,-122.62264
Montavilla,45.52642,-122.57904
Rose City Park,45.53777,-122.60585
Madison South,45.54088,-122.57634
Eliot,45.54103,-122.66871
Hazelwood,45.52124,-122.53521
Woodstock,45.48,-122.61
St Johns,45.61259,-122.76287
Sellwood-Moreland,45.465,-122.65
University Park,45.579,-122.737
Concordia,45.56629,-122.63065
Wilkes,45.54,-122.5
Northwest Industrial,45.55226,-122.72672
Irvington,45.54051,-122.64838
Goose Hollow,45.51963,-122.69299
Northwest,45.53264,-122.69872
Cully,45.56133,-122.59557
Kenton,45.59006,-122.69508
Centennial,45.50457,-122.49662
Kerns,45.5265,-122.64393
Parkrose,45.55719,-122.54745
Lents,45.4754,-122.56207
Sullivan's Gulch,45.532,-122.641
Sunnyside,45.516265,-122.627501
Creston-Kenilworth,45.49333,-122.62264
Hillsdale,45.478722,-122.695294
Laurelhurst,45.52717,-122.623
Cathedral Park,45.5883,-122.75799
Mt Tabor,45.512897,-122.592594
Reed,45.48811,-122.63243
North Tabor,45.52649,-122.60226
Portsmouth,45.5866,-122.7184
South Tabor,45.501384,-122.59459
Arbor Lodge,45.57354,-122.69247
Mill Park,45.51062,-122.53768
Homestead,45.49571,-122.68629
Hayden Island,45.6119,-122.67606
King,45.5573,-122.65855
Beaumont-Wilshire,45.5503,-122.6224
South Portland,45.49,-122.677
Woodlawn,45.57179,-122.65177
Humboldt,45.55973,-122.67297
Vernon,45.56272,-122.64667
Multnomah,45.46719,-122.71282
Mt Scott-Arleta,45.48304,-122.59118
Arlington Heights,45.5211,-122.71045
Roseway,45.54822,-122.58889
Eastmoreland,45.47605,-122.632
Grant Park,45.53897,-122.63067
Southwest Hills,45.505674,-122.703152
Brentwood-Darlington,45.46863,-122.59715
Parkrose Heights,45.53949,-122.54902
Woodland Park,45.535,-122.56
Linnton,45.58582,-122.77288
Ashcreek,45.45609,-122.73718
East Columbia,45.59486,-122.6519
Far Southwest,45.43687,-122.73736
Bridlemile,45.493174,-122.710374
Boise,45.55079,-122.67122
Maplewood,45.47182,-122.73132
Glenfair,45.52308,-122.50286
Hillside,45.52831,-122.71365
Sylvan-Highlands,45.515,-122.73
Forest Park,45.545278,-122.736111
Ardenwald,45.4554,-122.6298
Argay,45.55475,-122.52114
